#gene,Dmel,Dsec,Dsim
128up,FBgn0010339,FBgn0176208,FBgn0182597
CG10680,FBgn0032836,FBgn0172295,FBgn0195586
CG10681,FBgn0036291,FBgn0180206,FBgn0186064
CG10688,FBgn0036300,FBgn0180211,FBgn0186069
CG10694,FBgn0039147,FBgn0181409,FBgn0192518
CG10700,FBgn0032754,FBgn0171943,FBgn0193201
CG10702,FBgn0032752,FBgn0171948,FBgn0193204
CG10703,FBgn0037881,FBgn0180968,FBgn0190264
CG10710,FBgn0036377,FBgn0179446,FBgn0184379
CG10713,FBgn0036360,FBgn0179455,FBgn0184387
CG10721,FBgn0032846,FBgn0172302,FBgn0183776
CG10725,FBgn0036362,FBgn0180276,FBgn0186131
CG10730,FBgn0032843,FBgn0171879,FBgn0193141
CG10731,FBgn0034081,FBgn0174972,FBgn0196852
CG10732,FBgn0036365,FBgn0180278,FBgn0186133
CG10734,FBgn0034082,FBgn0174971,FBgn0196851
CG10738,FBgn0036368,FBgn0180280,FBgn0186134
CG1074,FBgn0037250,FBgn0165704,FBgn0191222
CG10741,FBgn0036373,FBgn0180283,FBgn0186136
CG10747,FBgn0032845,FBgn0171876,FBgn0193138
CG10748,FBgn0036327,FBgn0179481,FBgn0184411
CG10749,FBgn0036328,FBgn0180242,FBgn0186099
CG10752,FBgn0036325,FBgn0179483,FBgn0184413
CG10754,FBgn0036314,FBgn0179491,FBgn0184421
CG10761,FBgn0030015,FBgn0166147,FBgn0195905
CG10764,FBgn0034221,FBgn0176653,FBgn0183018
CG1077,FBgn0037405,FBgn0165803,FBgn0191329
CG10777,FBgn0029979,FBgn0166903,FBgn0187774
CG10778,FBgn0029980,FBgn0166902,FBgn0187773
CG10795,FBgn0034626,FBgn0170639,FBgn0196512
CG10799,FBgn0033821,FBgn0176341,FBgn0182720
CG10801,FBgn0029660,FBgn0167229,FBgn0188234
CG10802,FBgn0029664,FBgn0167230,FBgn0188235
CG10804,FBgn0029663,FBgn0167659,FBgn0187952
CG10809,FBgn0036052,FBgn0179696,FBgn0184611
CG10814,FBgn0033830,FBgn0175168,FBgn0197046
CG10822,FBgn0034478,FBgn0176864,FBgn0183235
CG10824,FBgn0038865,FBgn0170016,FBgn0191486
CG10827,FBgn0038845,FBgn0170038,FBgn0191503
CG10830,FBgn0038839,FBgn0178017,FBgn0191506
CG10834,FBgn0032972,FBgn0171032,FBgn0193043
CG10839,FBgn0028858,FBgn0173551,FBgn0084735
CG10841,FBgn0038163,FBgn0178980,FBgn0190426
CG10845,FBgn0039246,FBgn0181495,FBgn0192596
CG10853,FBgn0035478,FBgn0169523,FBgn0185493
CG10858,FBgn0035458,FBgn0168971,FBgn0185039
CG10859,FBgn0032520,FBgn0180400,FBgn0193474
CG10862,FBgn0035455,FBgn0168975,FBgn0185041
CG10863,FBgn0027552,FBgn0168956,FBgn0185027
CG10864,FBgn0038621,FBgn0173605,FBgn0189502
CG10866,FBgn0035475,FBgn0168958,FBgn0185029
CG10869,FBgn0031347,FBgn0171517,FBgn0194298
CG10874,FBgn0031395,FBgn0173168,FBgn0194264
CG10877,FBgn0038804,FBgn0178051,FBgn0191538
CG10880,FBgn0031398,FBgn0173162,FBgn0194258
CG10881,FBgn0038796,FBgn0177979,FBgn0190854
CG10887,FBgn0038773,FBgn0177965,FBgn0190840
CG10889,FBgn0038769,FBgn0172605,FBgn0191564
CG10898,FBgn0037911,FBgn0178817,FBgn0190283
CG10899,FBgn0039235,FBgn0178321,FBgn0189793
CG1090,FBgn0037238,FBgn0165694,FBgn0191210
CG10903,FBgn0037543,FBgn0165940,FBgn0191448
CG10904,FBgn0034945,FBgn0170403,FBgn0196301
CG10907,FBgn0036207,FBgn0180158,FBgn0186014
CG10909,FBgn0038090,FBgn0180829,FBgn0192004
CG1091,FBgn0037470,FBgn0165459,FBgn0191005
CG10910,FBgn0034289,FBgn0176715,FBgn0183081
CG10911,FBgn0034295,FBgn0174817,FBgn0196715
CG10912,FBgn0034296,FBgn0174816,FBgn0196714
CG10914,FBgn0034307,FBgn0176727,FBgn0183093
CG10915,FBgn0034308,FBgn0176728,FBgn0183094
CG10916,FBgn0034312,FBgn0176730,FBgn0183095
CG10919,FBgn0037514,FBgn0165916,FBgn0191428
CG1092,FBgn0037228,FBgn0165687,FBgn0191203
CG10920,FBgn0029963,FBgn0166914,FBgn0187780
CG10924,FBgn0034356,FBgn0176771,FBgn0183140
CG10927,FBgn0034360,FBgn0176775,FBgn0183144
CG10931,FBgn0034274,FBgn0176697,FBgn0183061
CG10932,FBgn0029969,FBgn0166908,FBgn0195909
CG10933,FBgn0034264,FBgn0176691,FBgn0183054
CG10934,FBgn0034263,FBgn0176690,FBgn0183053
CG10936,FBgn0034253,FBgn0174849,FBgn0064354
CG10947,FBgn0032857,FBgn0178196,FBgn0193127
CG10948,FBgn0036317,FBgn0179489,FBgn0184419
CG10949,FBgn0032858,FBgn0178195,FBgn0193126
CG10950,FBgn0034205,FBgn0176643,FBgn0183006
CG10953,FBgn0034204,FBgn0174881,FBgn0196780
CG10958,FBgn0030004,FBgn0166172,FBgn0188461
CG10959,FBgn0030010,FBgn0166176,FBgn0188466
CG10960,FBgn0036316,FBgn0179490,FBgn0184420
CG10962,FBgn0030073,FBgn0168622,FBgn0187729
CG10969,FBgn0036310,FBgn0179493,FBgn0184425
CG10970,FBgn0030078,FBgn0168617,FBgn0187726
CG10973,FBgn0036306,FBgn0179496,FBgn0184429
CG10979,FBgn0037379,FBgn0165788,FBgn0191312
CG10984,FBgn0036305,FBgn0180227,FBgn0186084
CG10996,FBgn0030525,FBgn0172492,FBgn0187525
CG11007,FBgn0034455,FBgn0176847,FBgn0183212
CG11018,FBgn0034464,FBgn0176855,FBgn0183223
CG11029,FBgn0031735,FBgn0173475,FBgn0194746
CG1103,FBgn0037235,FBgn0165693,FBgn0191209
CG11030,FBgn0031736,FBgn0173476,FBgn0194747
CG11034,FBgn0031741,FBgn0173480,FBgn0194750
CG11035,FBgn0037544,FBgn0165382,FBgn0190933
CG1104,FBgn0037467,FBgn0165461,FBgn0191007
CG11041,FBgn0034481,FBgn0176869,FBgn0183239
CG11043,FBgn0031831,FBgn0171090,FBgn0085859
CG11044,FBgn0034484,FBgn0176872,FBgn0183241
CG1105,FBgn0037465,FBgn0165462,FBgn0195900
CG11050,FBgn0031836,FBgn0171099,FBgn0194804
CG11052,FBgn0040524,FBgn0165386,FBgn0190939
CG11055,FBgn0034491,FBgn0082777,FBgn0082756
CG11060,FBgn0033149,FBgn0175816,FBgn0182232
CG11068,FBgn0030536,FBgn0172556,FBgn0195512
CG11069,FBgn0039244,FBgn0181494,FBgn0192595
CG11070,FBgn0028467,FBgn0171114,FBgn0194807
CG11073,FBgn0034693,FBgn0170580,FBgn0196457
CG11076,FBgn0039929,FBgn0167945,FBgn0195708
CG11077,FBgn0039930,FBgn0167946,FBgn0195709
CG11085,FBgn0030408,FBgn0166516,FBgn0196117
CG11089,FBgn0039241,FBgn0181493,FBgn0192594
CG1109,FBgn0046222,FBgn0165776,FBgn0191298
CG11095,FBgn0030528,FBgn0172552,FBgn0188717
CG11099,FBgn0034485,FBgn0082776,FBgn0082755
CG11103,FBgn0030522,FBgn0172549,FBgn0188713
CG11106,FBgn0030280,FBgn0166408,FBgn0188586
CG11109,FBgn0037200,FBgn0177346,FBgn0186729
CG11110,FBgn0034535,FBgn0176903,FBgn0183271
CG11112,FBgn0033164,FBgn0175829,FBgn0182243
CG11113,FBgn0033165,FBgn0175830,FBgn0182244
CG11120,FBgn0039250,FBgn0172679,FBgn0192599
CG11123,FBgn0033169,FBgn0175835,FBgn0182250
CG11125,FBgn0033174,FBgn0175837,FBgn0182252
CG11127,FBgn0033178,FBgn0175838,FBgn0182254
CG1113,FBgn0037304,FBgn0165742,FBgn0191259
CG11131,FBgn0037204,FBgn0177350,FBgn0186732
CG11134,FBgn0030518,FBgn0172543,FBgn0188711
CG11137,FBgn0037199,FBgn0176945,FBgn0183789
CG11145,FBgn0033168,FBgn0175679,FBgn0182034
CG11147,FBgn0031734,FBgn0172908,FBgn0194034
CG11148,FBgn0039936,FBgn0181619,FBgn0195712
CG11149,FBgn0031732,FBgn0172910,FBgn0186609
CG1115,FBgn0037299,FBgn0165740,FBgn0191257
CG11151,FBgn0030519,FBgn0172545,FBgn0196133
CG11158,FBgn0030511,FBgn0172536,FBgn0188709
CG11159,FBgn0034539,FBgn0174667,FBgn0196570
CG1116,FBgn0037297,FBgn0165738,FBgn0191255
CG11160,FBgn0030257,FBgn0166393,FBgn0188574
CG11163,FBgn0025693,FBgn0171413,FBgn0182121
CG11164,FBgn0030507,FBgn0172534,FBgn0188707
CG11165,FBgn0033238,FBgn0175875,FBgn0182294
CG11168,FBgn0039249,FBgn0172678,FBgn0192598
CG11178,FBgn0030499,FBgn0172527,FBgn0196131
CG11180,FBgn0034528,FBgn0174673,FBgn0196576
CG11188,FBgn0031851,FBgn0171124,FBgn0194810
CG11190,FBgn0030035,FBgn0176290,FBgn0187755
CG11191,FBgn0033249,FBgn0175613,FBgn0181973
CG11192,FBgn0034507,FBgn0174686,FBgn0196591
CG11200,FBgn0034500,FBgn0174689,FBgn0196594
CG11208,FBgn0034488,FBgn0082775,FBgn0082754
CG11210,FBgn0033259,FBgn0175888,FBgn0182313
CG11211,FBgn0033067,FBgn0171393,FBgn0182104
CG11221,FBgn0031855,FBgn0171130,FBgn0194813
CG11226,FBgn0037195,FBgn0177342,FBgn0186725
CG11236,FBgn0031860,FBgn0171133,FBgn0194815
CG1124,FBgn0037290,FBgn0165731,FBgn0191246
CG11241,FBgn0037186,FBgn0176952,FBgn0183795
CG11247,FBgn0037120,FBgn0176988,FBgn0183832
CG11249,FBgn0037115,FBgn0177267,FBgn0186658
CG11251,FBgn0036346,FBgn0179471,FBgn0181858
CG11253,FBgn0036338,FBgn0179475,FBgn0184406
CG11255,FBgn0036337,FBgn0179476,FBgn0184407
CG11257,FBgn0034442,FBgn0176834,FBgn0183201
CG1126,FBgn0037280,FBgn0165724,FBgn0191240
CG11261,FBgn0036332,FBgn0179479,FBgn0184410
CG11262,FBgn0036329,FBgn0180243,FBgn0186101
CG11263,FBgn0036330,FBgn0180244,FBgn0186102
CG11266,FBgn0031883,FBgn0171194,FBgn0194830
CG11267,FBgn0036334,FBgn0180246,FBgn0186104
CG11269,FBgn0034700,FBgn0170802,FBgn0183389
CG11275,FBgn0034706,FBgn0170807,FBgn0187115
CG11279,FBgn0036342,FBgn0180254,FBgn0186111
CG11284,FBgn0030056,FBgn0176634,FBgn0188491
CG11286,FBgn0037516,FBgn0165409,FBgn0190964
CG11289,FBgn0031887,FBgn0171248,FBgn0194836
CG1129,FBgn0037279,FBgn0165723,FBgn0191238
CG11294,FBgn0030058,FBgn0176009,FBgn0187735
CG11298,FBgn0034721,FBgn0170818,FBgn0183401
CG11300,FBgn0034901,FBgn0170960,FBgn0183533
CG11306,FBgn0037108,FBgn0177260,FBgn0186651
CG11307,FBgn0037106,FBgn0177259,FBgn0186650
CG11313,FBgn0039798,FBgn0167075,FBgn0188442
CG11317,FBgn0039816,FBgn0167050,FBgn0188226
CG11318,FBgn0039818,FBgn0167048,FBgn0188208
CG11319,FBgn0031835,FBgn0169029,FBgn0193964
CG11320,FBgn0031837,FBgn0169007,FBgn0193963
CG11322,FBgn0031856,FBgn0168789,FBgn0193945
CG11327,FBgn0031849,FBgn0168887,FBgn0193952
CG11333,FBgn0039850,FBgn0167875,FBgn0193004
CG11334,FBgn0039849,FBgn0167026,FBgn0188031
CG11337,FBgn0039846,FBgn0167029,FBgn0188051
CG11340,FBgn0039840,FBgn0167032,FBgn0188083
CG11342,FBgn0035537,FBgn0168910,FBgn0184983
CG11345,FBgn0035546,FBgn0168905,FBgn0184979
CG11349,FBgn0035550,FBgn0169587,FBgn0185546
CG11356,FBgn0030375,FBgn0168083,FBgn0187585
CG11357,FBgn0035558,FBgn0169591,FBgn0185548
CG1136,FBgn0035490,FBgn0169538,FBgn0185506
CG11360,FBgn0039920,FBgn0181661,FBgn0195748
CG11362,FBgn0034737,FBgn0170837,FBgn0183417
CG11368,FBgn0040923,FBgn0172435,FBgn0188433
CG11370,FBgn0037181,FBgn0177335,FBgn0186719
CG11373,FBgn0040679,FBgn0165527,FBgn0191064
CG11377,FBgn0031217,FBgn0171627,FBgn0194392
CG11378,FBgn0040364,FBgn0174017,FBgn0188149
CG11379,FBgn0040362,FBgn0174018,FBgn0196030
CG1138,FBgn0037456,FBgn0165492,FBgn0191037
CG11380,FBgn0040359,FBgn0174021,FBgn0188150
CG11381,FBgn0029568,FBgn0174023,FBgn0188153
CG11382,FBgn0040367,FBgn0174025,FBgn0196033
CG11384,FBgn0040363,FBgn0173896,FBgn0188049
CG1139,FBgn0035300,FBgn0169387,FBgn0185370
CG11395,FBgn0034200,FBgn0176641,FBgn0183004
CG11396,FBgn0037022,FBgn0177058,FBgn0183899
CG11399,FBgn0037021,FBgn0177059,FBgn0183900
CG1140,FBgn0035298,FBgn0169386,FBgn0185369
CG11400,FBgn0034198,FBgn0176639,FBgn0083473
CG11403,FBgn0026876,FBgn0173892,FBgn0085876
CG11404,FBgn0037169,FBgn0177322,FBgn0186705
CG11406,FBgn0034990,FBgn0173170,FBgn0196281
CG11409,FBgn0024366,FBgn0173889,FBgn0188043
CG11412,FBgn0024362,FBgn0174028,FBgn0196035
CG11413,FBgn0035022,FBgn0166813,FBgn0183609
CG11414,FBgn0035024,FBgn0166816,FBgn0183612
CG11417,FBgn0024364,FBgn0174031,FBgn0188156
CG1142,FBgn0037504,FBgn0165430,FBgn0190979
CG11425,FBgn0037167,FBgn0177319,FBgn0186704
CG11426,FBgn0037166,FBgn0177318,FBgn0186703
CG1143,FBgn0035359,FBgn0169426,FBgn0185408
CG11436,FBgn0029713,FBgn0167621,FBgn0187919
CG11437,FBgn0037165,FBgn0177316,FBgn0186702
CG11438,FBgn0037164,FBgn0177315,FBgn0186701
CG11444,FBgn0029715,FBgn0167620,FBgn0187918
CG11447,FBgn0038737,FBgn0181717,FBgn0190819
CG11449,FBgn0037162,FBgn0177314,FBgn0189205
CG11453,FBgn0038734,FBgn0175757,FBgn0190816
CG11454,FBgn0031224,FBgn0171630,FBgn0194395
CG11455,FBgn0031228,FBgn0171631,FBgn0194396
CG11456,FBgn0037031,FBgn0177199,FBgn0186589
CG11458,FBgn0040637,FBgn0177200,FBgn0186590
CG11459,FBgn0037396,FBgn0165522,FBgn0262092
CG11470,FBgn0039671,FBgn0167175,FBgn0189275
CG11474,FBgn0034688,FBgn0170584,FBgn0196461
CG11475,FBgn0034687,FBgn0170585,FBgn0196462
CG11486,FBgn0035397,FBgn0169451,FBgn0185432
CG11498,FBgn0039749,FBgn0167117,FBgn0188861
CG11505,FBgn0035424,FBgn0169472,FBgn0185448
CG11523,FBgn0037156,FBgn0176967,FBgn0183810
CG11526,FBgn0035437,FBgn0168987,FBgn0185049
CG11529,FBgn0036264,FBgn0180194,FBgn0186051
CG11534,FBgn0046296,FBgn0180188,FBgn0186044
CG11537,FBgn0035400,FBgn0169011,FBgn0185071
CG11539,FBgn0039859,FBgn0171340,FBgn0188000
CG11550,FBgn0039864,FBgn0171339,FBgn0187990
CG11560,FBgn0036249,FBgn0180186,FBgn0186041
CG11562,FBgn0031247,FBgn0171643,FBgn0194406
CG11563,FBgn0039868,FBgn0171360,FBgn0193022
CG11570,FBgn0036230,FBgn0179552,FBgn0184486
CG11577,FBgn0036847,FBgn0169815,FBgn0184038
CG11581,FBgn0030540,FBgn0172563,FBgn0188724
CG11583,FBgn0035524,FBgn0168917,FBgn0184989
CG11584,FBgn0030541,FBgn0172564,FBgn0188725
CG11585,FBgn0030543,FBgn0172568,FBgn0188728
CG11586,FBgn0035520,FBgn0168921,FBgn0184991
CG11588,FBgn0036221,FBgn0180167,FBgn0186023
CG11592,FBgn0025686,FBgn0171594,FBgn0194362
CG11593,FBgn0035488,FBgn0168950,FBgn0185019
CG11594,FBgn0035484,FBgn0168951,FBgn0185020
CG11596,FBgn0023522,FBgn0174084,FBgn0188181
CG11598,FBgn0038067,FBgn0178914,FBgn0190361
CG11600,FBgn0038068,FBgn0178915,FBgn0190362
CG11601,FBgn0031244,FBgn0171596,FBgn0194364
CG11608,FBgn0038069,FBgn0178917,FBgn0190364
CG1161,FBgn0037313,FBgn0165747,FBgn0191267
CG11617,FBgn0031232,FBgn0171604,FBgn0194371
CG11626,FBgn0038705,FBgn0181692,FBgn0190794
CG11629,FBgn0032965,FBgn0171041,FBgn0193050
CG11630,FBgn0032964,FBgn0171042,FBgn0193051
CG11634,FBgn0032968,FBgn0171065,FBgn0195685
CG11635,FBgn0033283,FBgn0175907,FBgn0187041
CG11638,FBgn0040351,FBgn0173905,FBgn0187670
CG11652,FBgn0036194,FBgn0179585,FBgn0184511
CG11655,FBgn0030638,FBgn0174465,FBgn0188774
CG11656,FBgn0038109,FBgn0178939,FBgn0190384
CG11658,FBgn0036196,FBgn0179583,FBgn0184509
CG11660,FBgn0036187,FBgn0179589,FBgn0184514
CG11665,FBgn0033028,FBgn0171420,FBgn0182127
CG11666,FBgn0040648,FBgn0177924,FBgn0189056
CG11668,FBgn0038113,FBgn0178943,FBgn0190387
CG11670,FBgn0038114,FBgn0178945,FBgn0190388
CG11671,FBgn0037562,FBgn0178581,FBgn0190054
CG11672,FBgn0037563,FBgn0181211,FBgn0192340
CG11674,FBgn0030551,FBgn0172473,FBgn0187513
CG11679,FBgn0030678,FBgn0177403,FBgn0187441
CG11686,FBgn0040551,FBgn0178956,FBgn0190402
CG11693,FBgn0037570,FBgn0181206,FBgn0192336
CG11698,FBgn0037572,FBgn0178586,FBgn0190058
CG11699,FBgn0030311,FBgn0168022,FBgn0188605
CG11703,FBgn0038690,FBgn0181770,FBgn0191604
CG11710,FBgn0031115,FBgn0177538,FBgn0195778
CG11714,FBgn0036170,FBgn0179608,FBgn0184529
CG1172,FBgn0264712,FBgn0165753,FBgn0191269
CG11722,FBgn0037777,FBgn0181047,FBgn0192207
CG11723,FBgn0031391,FBgn0178550,FBgn0194266
CG11726,FBgn0036156,FBgn0180128,FBgn0185987
CG11737,FBgn0037592,FBgn0178600,FBgn0190067
CG11739,FBgn0037239,FBgn0165695,FBgn0191211
CG11752,FBgn0030292,FBgn0166415,FBgn0188591
CG11753,FBgn0037603,FBgn0178611,FBgn0190079
CG11755,FBgn0037611,FBgn0178617,FBgn0190085
CG11756,FBgn0030290,FBgn0166413,FBgn0188589
CG11760,FBgn0037615,FBgn0178620,FBgn0190088
CG11762,FBgn0037618,FBgn0178623,FBgn0190091
CG11768,FBgn0037625,FBgn0181169,FBgn0192307
CG11771,FBgn0039252,FBgn0181501,FBgn0192601
CG11777,FBgn0033527,FBgn0176101,FBgn0182507
CG11779,FBgn0038683,FBgn0164995,FBgn0191610
CG11781,FBgn0039259,FBgn0172671,FBgn0189781
CG11786,FBgn0039264,FBgn0172697,FBgn0192612
CG11788,FBgn0034495,FBgn0082774,FBgn0082753
CG11790,FBgn0039265,FBgn0172698,FBgn0192613
CG11791,FBgn0039266,FBgn0172699,FBgn0192614
CG11796,FBgn0036992,FBgn0177083,FBgn0183921
CG11807,FBgn0033996,FBgn0176473,FBgn0182858
CG11808,FBgn0034000,FBgn0176477,FBgn0182860
CG11811,FBgn0036099,FBgn0180084,FBgn0185942
CG11815,FBgn0035299,FBgn0169077,FBgn0185131
CG11816,FBgn0030495,FBgn0172515,FBgn0195856
CG11825,FBgn0033519,FBgn0175407,FBgn0182503
CG11835,FBgn0031264,FBgn0171570,FBgn0194344
CG11836,FBgn0039272,FBgn0172704,FBgn0192620
CG11837,FBgn0039627,FBgn0167693,FBgn0192842
CG11839,FBgn0039271,FBgn0172703,FBgn0192619
CG11841,FBgn0039628,FBgn0167694,FBgn0192843
CG11851,FBgn0039293,FBgn0172726,FBgn0192639
CG11852,FBgn0039297,FBgn0172727,FBgn0192640
CG11854,FBgn0039299,FBgn0172730,FBgn0192642
CG11857,FBgn0039303,FBgn0172733,FBgn0192645
CG11858,FBgn0039305,FBgn0172734,FBgn0192646
CG11859,FBgn0039306,FBgn0172735,FBgn0192647
CG11864,FBgn0028944,FBgn0169222,FBgn0193365
CG11865,FBgn0028947,FBgn0171017,FBgn0042864
CG11866,FBgn0033486,FBgn0176069,FBgn0182480
CG11875,FBgn0039301,FBgn0172731,FBgn0192643
CG11876,FBgn0039635,FBgn0167701,FBgn0192849
CG11877,FBgn0039636,FBgn0167702,FBgn0192850
CG11880,FBgn0039637,FBgn0167703,FBgn0192851
CG11882,FBgn0039642,FBgn0167196,FBgn0189496
CG11883,FBgn0033538,FBgn0176105,FBgn0182511
CG11885,FBgn0031253,FBgn0171582,FBgn0194351
CG11892,FBgn0039313,FBgn0172741,FBgn0192654
CG11899,FBgn0014427,FBgn0167711,FBgn0083468
CG11905,FBgn0036678,FBgn0179223,FBgn0184168
CG11911,FBgn0031249,FBgn0171590,FBgn0194358
CG11912,FBgn0031248,FBgn0171591,FBgn0194359
CG11920,FBgn0039274,FBgn0172706,FBgn0192621
CG11927,FBgn0031638,FBgn0173402,FBgn0194689
CG11929,FBgn0031620,FBgn0173392,FBgn0194680
CG11951,FBgn0039656,FBgn0167185,FBgn0189431
CG11961,FBgn0034436,FBgn0176828,FBgn0183196
CG11964,FBgn0037644,FBgn0181152,FBgn0192294
CG11975,FBgn0037648,FBgn0178640,FBgn0190107
CG11977,FBgn0037650,FBgn0178641,FBgn0186816
CG11980,FBgn0037652,FBgn0178642,FBgn0190109
CG11982,FBgn0037653,FBgn0178643,FBgn0190110
CG11983,FBgn0037654,FBgn0178644,FBgn0190111
CG11984,FBgn0037655,FBgn0181145,FBgn0192289
CG11985,FBgn0040534,FBgn0181144,FBgn0192288
CG11986,FBgn0037656,FBgn0178645,FBgn0190112
CG11997,FBgn0037662,FBgn0178650,FBgn0190118
CG11999,FBgn0037312,FBgn0165591,FBgn0191117
CG12001,FBgn0037265,FBgn0165717,FBgn0191234
CG12003,FBgn0035234,FBgn0169346,FBgn0185336
CG12004,FBgn0035236,FBgn0169348,FBgn0185337
CG12006,FBgn0035464,FBgn0169508,FBgn0185479
CG12007,FBgn0037293,FBgn0165733,FBgn0191249
CG12009,FBgn0035430,FBgn0169478,FBgn0185453
CG12010,FBgn0035443,FBgn0169491,FBgn0185461
CG12011,FBgn0035257,FBgn0169361,FBgn0185348
CG12012,FBgn0035444,FBgn0169492,FBgn0185462
CG12014,FBgn0035445,FBgn0169493,FBgn0185463
CG12016,FBgn0035436,FBgn0169485,FBgn0185457
CG12017,FBgn0035429,FBgn0169477,FBgn0185452
CG12018,FBgn0027903,FBgn0169367,FBgn0185354
CG12020,FBgn0035273,FBgn0169370,FBgn0185356
CG12024,FBgn0035283,FBgn0169376,FBgn0185361
CG12025,FBgn0035285,FBgn0169377,FBgn0185362
CG12027,FBgn0035585,FBgn0168866,FBgn0184937
CG12035,FBgn0035263,FBgn0169363,FBgn0185350
CG12038,FBgn0035179,FBgn0169296,FBgn0185298
CG12042,FBgn0033206,FBgn0175652,FBgn0182006
CG12050,FBgn0032915,FBgn0178146,FBgn0193078
CG12054,FBgn0039831,FBgn0167859,FBgn0192990
CG12057,FBgn0030098,FBgn0168658,FBgn0188515
CG12065,FBgn0030052,FBgn0176581,FBgn0084063
CG12069,FBgn0039796,FBgn0167079,FBgn0188473
CG12071,FBgn0039808,FBgn0167065,FBgn0188383
CG12075,FBgn0030065,FBgn0168633,FBgn0188497
CG12077,FBgn0035435,FBgn0168988,FBgn0185050
CG12078,FBgn0035426,FBgn0168990,FBgn0185052
CG12079,FBgn0035404,FBgn0169009,FBgn0185069
CG1208,FBgn0037386,FBgn0165793,FBgn0191318
CG12082,FBgn0035402,FBgn0169010,FBgn0185070
CG12084,FBgn0043458,FBgn0169138,FBgn0185185
CG12090,FBgn0035227,FBgn0169133,FBgn0185181
CG12091,FBgn0035228,FBgn0169132,FBgn0185180
CG12093,FBgn0035372,FBgn0169034,FBgn0185087
CG12096,FBgn0030457,FBgn0166550,FBgn0188676
CG12099,FBgn0035232,FBgn0169130,FBgn0185178
CG12104,FBgn0035238,FBgn0169128,FBgn0189162
CG12105,FBgn0035241,FBgn0169126,FBgn0084334
CG12106,FBgn0030100,FBgn0168660,FBgn0188517
CG12107,FBgn0033209,FBgn0175854,FBgn0182274
CG12111,FBgn0030050,FBgn0176106,FBgn0084862
CG12112,FBgn0030048,FBgn0176127,FBgn0187349
CG12116,FBgn0030041,FBgn0176182,FBgn0187746
CG12118,FBgn0030101,FBgn0168602,FBgn0187716
CG12119,FBgn0030102,FBgn0166602,FBgn0187714
CG12121,FBgn0030109,FBgn0177230,FBgn0187712
CG12123,FBgn0030039,FBgn0176247,FBgn0187754
CG12125,FBgn0030037,FBgn0176258,FBgn0085907
CG12126,FBgn0033280,FBgn0175586,FBgn0186955
CG12128,FBgn0033473,FBgn0176056,FBgn0182472
CG12129,FBgn0033475,FBgn0176057,FBgn0182473
CG1213,FBgn0037387,FBgn0165794,FBgn0191319
CG12133,FBgn0033469,FBgn0176051,FBgn0182468
CG12134,FBgn0033471,FBgn0166066,FBgn0182470
CG12155,FBgn0029957,FBgn0172442,FBgn0188438
CG12158,FBgn0040775,FBgn0175491,FBgn0181857
CG12159,FBgn0033232,FBgn0175629,FBgn0181989
CG12162,FBgn0037329,FBgn0165755,FBgn0191276
CG12163,FBgn0260462,FBgn0165600,FBgn0191126
CG12164,FBgn0033158,FBgn0175826,FBgn0187008
CG12170,FBgn0037356,FBgn0165773,FBgn0191293
CG12173,FBgn0037305,FBgn0165599,FBgn0191125
CG12177,FBgn0030510,FBgn0172505,FBgn0187532
CG1218,FBgn0037377,FBgn0165787,FBgn0191311
CG12182,FBgn0028504,FBgn0169043,FBgn0185097
CG12194,FBgn0031636,FBgn0173401,FBgn0194688
CG12203,FBgn0031021,FBgn0177829,FBgn0188998
CG12204,FBgn0031022,FBgn0177611,FBgn0187246
CG12206,FBgn0029662,FBgn0167660,FBgn0187953
CG12209,FBgn0033498,FBgn0175424,FBgn0197275
CG12213,FBgn0260742,FBgn0180911,FBgn0192086
CG12214,FBgn0033495,FBgn0175429,FBgn0197278
CG12229,FBgn0036723,FBgn0179194,FBgn0184135
CG12231,FBgn0031026,FBgn0177608,FBgn0187243
CG12236,FBgn0029822,FBgn0167386,FBgn0188354
CG12237,FBgn0031048,FBgn0177593,FBgn0195790
CG12239,FBgn0029810,FBgn0167375,FBgn0188342
CG12241,FBgn0038304,FBgn0179068,FBgn0190503
CG12253,FBgn0026148,FBgn0173684,FBgn0195120
CG12256,FBgn0038002,FBgn0180887,FBgn0192057
CG12259,FBgn0039557,FBgn0171230,FBgn0189595
CG12262,FBgn0035811,FBgn0179858,FBgn0185725
CG12264,FBgn0032393,FBgn0181548,FBgn0195176
CG12267,FBgn0038057,FBgn0178906,FBgn0190355
CG12268,FBgn0039131,FBgn0178390,FBgn0189863
CG12269,FBgn0038665,FBgn0168580,FBgn0191621
CG1227,FBgn0037491,FBgn0165441,FBgn0190987
CG12278,FBgn0038847,FBgn0169979,FBgn0190893
CG12279,FBgn0038080,FBgn0178927,FBgn0190371
CG12288,FBgn0032620,FBgn0172057,FBgn0193303
CG12289,FBgn0036160,FBgn0179617,FBgn0184532
CG12290,FBgn0039419,FBgn0165265,FBgn0192716
CG12299,FBgn0032295,FBgn0173635,FBgn0195104
CG12301,FBgn0036514,FBgn0180401,FBgn0186237
CG12304,FBgn0036515,FBgn0180402,FBgn0186238
CG12307,FBgn0032370,FBgn0165957,FBgn0193571
CG12309,FBgn0033542,FBgn0176113,FBgn0182516
CG12316,FBgn0036483,FBgn0179365,FBgn0184300
CG12320,FBgn0038590,FBgn0170234,FBgn0191669
